slug,distillery,name,image_url,
chivas-regal-chivas-regal-extra-aged-13-years-5000299611104,Chivas Regal,Chivas Regal Extra Aged 13 years,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/chivas-regal-chivas-regal-12-jahre-5000299212837.jpg,
chivas-regal-0080432400340,Chivas Regal,chivas regal,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/chivas-regal-chivas-regal-12-jahre-5000299212837.jpg,
clan-campbell-the-noble-blended-scotch-whisky-limited-edition-3163937163075,Clan Campbell,The Noble blended scotch whisky - Limited edition,,
clan-campbell-whisky-ecosse-blended-150-cl-clan-campbell-3163937630102,Clan Campbell,Whisky Ecosse blended 150 cl Clan Campbell,,
clan-campbell-whisky-ecosse-blended-sans-ge-35-cl-clan-campbell-3163937635008,Clan Campbell,Whisky Ecosse blended sans âge 35 cl Clan Campbell,,
clynelish-14-standard,Clynelish,Clynelish 14 Year Old,,
jack-daniels-coca-cola-5000112674309,Coca-Cola,Jack Daniel's Coca-Cola,,
coca-cola-jack-daniels-coca-cola-5000112674309,Coca-Cola,Jack Daniel's Coca-Cola,,
connemara-5099357002305,Connemara,Connemara,,
cragganmore-single-highland-malt-5000281003597,Cragganmore,Single highland malt,,
crown-royal-blended-canadian-whiskey-0087000007253,Crown Royal,Blended Canadian Whiskey,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/crown-royal-northern-harvest-rye-blended-canadian-whiskey-0082000775874.jpg,
crown-royal-deluxe-standard,Crown Royal,Crown Royal Deluxe,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/crown-royal-northern-harvest-rye-blended-canadian-whiskey-0082000775874.jpg,
crown-royal-harvest-rye-standard,Crown Royal,Crown Royal Northern Harvest Rye,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/crown-royal-northern-harvest-rye-blended-canadian-whiskey-0082000775874.jpg,
